wavelength_nm,T,R,sigma_T,sigma_R,substrate_n
300.0,0.0,0.5092385573635766,0.0015,0.0015,1.5
303.75,0.0011568296450917273,0.5073035340617057,0.0015,0.0015,1.5
307.5,0.0017251327271081084,0.5033540743644753,0.0015,0.0015,1.5
311.25,0.0011032422079542883,0.5045974564425042,0.0015,0.0015,1.5
315.0,0.002171948226734819,0.5018094138973944,0.0015,0.0015,1.5
318.75,4.964230504972844e-06,0.5006485000012398,0.0015,0.0015,1.5
322.5,0.0,0.498911995160779,0.0015,0.0015,1.5
326.25,0.0,0.49636020247072277,0.0015,0.0015,1.5
330.0,0.0007239284346454554,0.49772241765320085,0.0015,0.0015,1.5
333.75,0.0006227863698218442,0.4942409345535087,0.0015,0.0015,1.5
337.5,0.0,0.49414454843141503,0.0015,0.0015,1.5
341.25,0.0,0.4941981355798711,0.0015,0.0015,1.5
345.0,0.003142360455514233,0.4890842670858902,0.0015,0.0015,1.5
348.75,0.0,0.48878388841294207,0.0015,0.0015,1.5
352.5,0.0006984954358398913,0.48761213105460943,0.0015,0.0015,1.5
356.25,0.0,0.48516473257748416,0.0015,0.0015,1.5
360.0,0.0,0.4835683875325738,0.0015,0.0015,1.5
363.75,0.0009655808443798462,0.4811012843646505,0.0015,0.0015,1.5
367.5,0.0014273244840071794,0.47768281621252523,0.0015,0.0015,1.5
371.25,0.0,0.47887820461345204,0.0015,0.0015,1.5
375.0,0.0,0.48015587487058664,0.0015,0.0015,1.5
378.75,0.0,0.47387030359508125,0.0015,0.0015,1.5
382.5,0.0,0.4739944245648832,0.0015,0.0015,1.5
386.25,0.0,0.4717966260491655,0.0015,0.0015,1.5
390.0,0.0,0.4687141274751093,0.0015,0.0015,1.5
393.75,0.0,0.46737065347203877,0.0015,0.0015,1.5
397.5,0.0032171789089923256,0.4672769438848764,0.0015,0.0015,1.5
401.25,0.0,0.4640785999192433,0.0015,0.0015,1.5
405.0,0.0,0.4620961711157016,0.0015,0.0015,1.5
408.75,0.0026747225411321005,0.4615788261944323,0.0015,0.0015,1.5
412.5,0.0,0.4579364159129548,0.0015,0.0015,1.5
416.25,7.103704479041597e-05,0.4550141929824762,0.0015,0.0015,1.5
420.0,0.000942755445657373,0.45439468761869967,0.0015,0.0015,1.5
423.75,0.0025573388839205983,0.4521737179385022,0.0015,0.0015,1.5
427.5,0.0,0.4510075406466699,0.0015,0.0015,1.5
431.25,0.0022958284484886596,0.45289222367919774,0.0015,0.0015,1.5
435.0,0.0,0.4461767276632299,0.0015,0.0015,1.5
438.75,0.0028804492278332408,0.44442082015520007,0.0015,0.0015,1.5
442.5,0.0017598456997565959,0.44508692555874,0.0015,0.0015,1.5
446.25,0.0008922666118999444,0.44373251609611636,0.0015,0.0015,1.5
450.0,0.0,0.43941887334699503,0.0015,0.0015,1.5
453.75,0.0024978776554619975,0.4381768919354734,0.0015,0.0015,1.5
457.5,0.0015372770330663226,0.4353901175682745,0.0015,0.0015,1.5
461.25,0.002106235153888766,0.43637670359856645,0.0015,0.0015,1.5
465.0,0.0,0.43316026786920164,0.0015,0.0015,1.5
468.75,0.00033507368023531715,0.43198640730429316,0.0015,0.0015,1.5
472.5,0.000894824629713268,0.4284263161078982,0.0015,0.0015,1.5
476.25,0.0013997604926429506,0.42843135939621757,0.0015,0.0015,1.5
480.0,0.0,0.42607246757410583,0.0015,0.0015,1.5
483.75,0.0,0.42488254369135364,0.0015,0.0015,1.5
487.5,0.0017297771183193578,0.4231162406393729,0.0015,0.0015,1.5
491.25,0.0005679123693876038,0.41794110837599524,0.0015,0.0015,1.5
495.0,0.0017651087649805056,0.41705276930458546,0.0015,0.0015,1.5
498.75,3.528229139351173e-05,0.42005157904315976,0.0015,0.0015,1.5
502.5,0.0022449827243009052,0.41530994019030276,0.0015,0.0015,1.5
506.25,0.001132699664338145,0.4145035180198991,0.0015,0.0015,1.5
510.0,0.0011684475256600912,0.4114336832984972,0.0015,0.0015,1.5
513.75,0.001741259968870582,0.40921464038272426,0.0015,0.0015,1.5
517.5,0.004645758723841896,0.40845570013756943,0.0015,0.0015,1.5
521.25,0.0023607788619052082,0.4051190165639146,0.0015,0.0015,1.5
525.0,0.002964800783490816,0.40389421933547515,0.0015,0.0015,1.5
528.75,0.005272735083583635,0.40294510792968247,0.0015,0.0015,1.5
532.5,0.008072376054368518,0.3991212541014383,0.0015,0.0015,1.5
536.25,0.009758969698732696,0.40082410884879166,0.0015,0.0015,1.5
540.0,0.011095508312412738,0.3971013658066867,0.0015,0.0015,1.5
543.75,0.012935359522205477,0.394752778012346,0.0015,0.0015,1.5
547.5,0.012253055713876063,0.39552961985027857,0.0015,0.0015,1.5
551.25,0.01408713591024879,0.39733000830112,0.0015,0.0015,1.5
