wavelength_nm,T,R,sigma_T,sigma_R,substrate_n
300.0,0.0,0.3839814051558026,0.0015,0.0015,1.5
303.75,0.001156829043173015,0.3808296172402438,0.0015,0.0015,1.5
307.5,0.0017251320007586296,0.37544908177906594,0.0015,0.0015,1.5
311.25,0.0011032413211627754,0.3750500729692829,0.0015,0.0015,1.5
315.0,0.002171947131423457,0.3704137713158839,0.0015,0.0015,1.5
318.75,4.962862011576799e-06,0.3672068088582119,0.0015,0.0015,1.5
322.5,0.0,0.36323725977367693,0.0015,0.0015,1.5
326.25,0.0,0.3582789011588537,0.0015,0.0015,1.5
330.0,0.0007239255809297303,0.35707701833495237,0.0015,0.0015,1.5
333.75,0.0006227826453711246,0.3508921150368063,0.0015,0.0015,1.5
337.5,0.0,0.347973002674464,0.0015,0.0015,1.5
341.25,0.0,0.3451058715389643,0.0015,0.0015,1.5
345.0,0.0031423516792312466,0.33699533597755316,0.0015,0.0015,1.5
348.75,0.0,0.3336445250219016,0.0015,0.0015,1.5
352.5,0.000698479209301137,0.3293903249406322,0.0015,0.0015,1.5
356.25,0.0,0.3238492856745258,0.0015,0.0015,1.5
360.0,0.0,0.31916754084442467,0.0015,0.0015,1.5
363.75,0.0009655378771522076,0.3136410131443567,0.0015,0.0015,1.5
367.5,0.001427264386482063,0.30720489893540776,0.0015,0.0015,1.5
371.25,0.0,0.3054381675341942,0.0015,0.0015,1.5
375.0,0.0,0.3038209032957744,0.0015,0.0015,1.5
378.75,0.0,0.29471719586998507,0.0015,0.0015,1.5
382.5,0.0,0.29210764768462943,0.0015,0.0015,1.5
386.25,0.0,0.28726651479093235,0.0015,0.0015,1.5
390.0,0.0,0.2816352533683428,0.0015,0.0015,1.5
393.75,0.0,0.27784037672905937,0.0015,0.0015,1.5
397.5,0.0032162268255061066,0.27539415298622955,0.0015,0.0015,1.5
401.25,0.0,0.2699426397391452,0.0015,0.0015,1.5
405.0,0.0,0.2658059256732178,0.0015,0.0015,1.5
408.75,0.0026724071604292228,0.263231835452206,0.0015,0.0015,1.5
412.5,0.0,0.2576281645184031,0.0015,0.0015,1.5
416.25,6.922457603511236e-05,0.2528386683798431,0.0015,0.0015,1.5
420.0,0.0009447562123792712,0.25044592795466325,0.0015,0.0015,1.5
