wavelength_nm,T,R,sigma_T,sigma_R,substrate_n
300.0,0.0,0.18513048104357527,0.0015,0.0015,1.5
303.75,0.0011589305805129804,0.19173610016257964,0.0015,0.0015,1.5
307.5,0.001727624325912034,0.19611632112266567,0.0015,0.0015,1.5
311.25,0.0011062315904280355,0.20546275629482677,0.0015,0.0015,1.5
315.0,0.002175577489115672,0.2105382444261151,0.0015,0.0015,1.5
318.75,9.423067593410593e-06,0.21699104667706243,0.0015,0.0015,1.5
322.5,0.0,0.2226105836436908,0.0015,0.0015,1.5
326.25,0.0,0.22715155973109574,0.0015,0.0015,1.5
330.0,0.000732794680517739,0.2353397619092333,0.0015,0.0015,1.5
333.75,0.0006341827626750799,0.23841589418397272,0.0015,0.0015,1.5
337.5,0.0,0.24460890976265615,0.0015,0.0015,1.5
341.25,0.0,0.250685418836936,0.0015,0.0015,1.5
345.0,0.003167950721604813,0.2513311288138924,0.0015,0.0015,1.5
348.75,2.9905500754935773e-05,0.25653134716889026,0.0015,0.0015,1.5
352.5,0.0007440009190127363,0.26060661086211895,0.0015,0.0015,1.5
356.25,0.0,0.2631589151299787,0.0015,0.0015,1.5
360.0,0.0,0.26632185897211197,0.0015,0.0015,1.5
363.75,0.0010768158702589884,0.26838095527874045,0.0015,0.0015,1.5
367.5,0.001577609754961871,0.2692630842128285,0.0015,0.0015,1.5
371.25,0.0,0.2745408180594889,0.0015,0.0015,1.5
375.0,0.0,0.27968944559091613,0.0015,0.0015,1.5
378.75,0.0,0.27706940887019854,0.0015,0.0015,1.5
382.5,0.0,0.2806582388075858,0.0015,0.0015,1.5
386.25,0.0,0.2817270365572788,0.0015,0.0015,1.5
390.0,0.0006886486295292724,0.28171332284680567,0.0015,0.0015,1.5
393.75,0.0,0.28323823318127095,0.0015,0.0015,1.5
397.5,0.00471144248651247,0.2858066852913896,0.0015,0.0015,1.5
401.25,0.0,0.2850551313843164,0.0015,0.0015,1.5
405.0,0.0019092254893386393,0.2852919267794116,0.0015,0.0015,1.5
408.75,0.0058670247601990185,0.28675178240937294,0.0015,0.0015,1.5
412.5,0.0034180031663632827,0.28482920963608227,0.0015,0.0015,1.5
416.25,0.005160481706027684,0.2833552759002065,0.0015,0.0015,1.5
420.0,0.007291766571418812,0.2839021570775511,0.0015,0.0015,1.5
423.75,0.010414608647795979,0.28256237440029913,0.0015,0.0015,1.5
427.5,0.008310698920496847,0.2819995471891311,0.0015,0.0015,1.5
431.25,0.01404941377219933,0.28423148913619645,0.0015,0.0015,1.5
435.0,0.012566534815626963,0.2776468094208051,0.0015,0.0015,1.5
438.75,0.01993215243886705,0.27586575665267393,0.0015,0.0015,1.5
442.5,0.022069027708069337,0.2764339774898653,0.0015,0.0015,1.5
446.25,0.02490317347574908,0.2750153430138907,0.0015,0.0015,1.5
450.0,0.027800455035191192,0.27079923853456617,0.0015,0.0015,1.5
453.75,0.03532700333036151,0.2699626353833608,0.0015,0.0015,1.5
457.5,0.03950257325417383,0.26804695100894943,0.0015,0.0015,1.5
461.25,0.04568737969269697,0.270531463127562,0.0015,0.0015,1.5
465.0,0.047948873558733236,0.26959369860084276,0.0015,0.0015,1.5
468.75,0.05649518659637947,0.2716143934602268,0.0015,0.0015,1.5
472.5,0.06393936491329108,0.2722696659996356,0.0015,0.0015,1.5
476.25,0.07165346140978307,0.2775756570108955,0.0015,0.0015,1.5
480.0,0.07587466023114746,0.28162086386816393,0.0015,0.0015,1.5
483.75,0.08372404578158558,0.28790539217085104,0.0015,0.0015,1.5
487.5,0.09489638177954562,0.29460193672002644,0.0015,0.0015,1.5
491.25,0.1015758601379383,0.2987522499252496,0.0015,0.0015,1.5
495.0,0.1106163147977277,0.3078908685303338,0.0015,0.0015,1.5
498.75,0.1166861978944635,0.321432233507394,0.0015,0.0015,1.5
502.5,0.12661913355260274,0.32754891233302885,0.0015,0.0015,1.5
506.25,0.13313378743253146,0.3377128733396526,0.0015,0.0015,1.5
510.0,0.1406930259656075,0.3455262096007434,0.0015,0.0015,1.5
513.75,0.14869023697066683,0.3539143054553913,0.0015,0.0015,1.5
517.5,0.15893425768743935,0.3633118789888179,0.0015,0.0015,1.5
521.25,0.16392615965918272,0.3695225293829062,0.0015,0.0015,1.5
525.0,0.1717728587575849,0.37709373178271016,0.0015,0.0015,1.5
528.75,0.18132224887512052,0.3840630249410463,0.0015,0.0015,1.5
532.5,0.19139826098141913,0.3871687827612971,0.0015,0.0015,1.5
536.25,0.20043432198084565,0.39471560522270766,0.0015,0.0015,1.5
540.0,0.20923281011327569,0.39566837729652016,0.0015,0.0015,1.5
543.75,0.21868706970970408,0.3967583348963321,0.0015,0.0015,1.5
547.5,0.22581174906380838,0.39968332445112176,0.0015,0.0015,1.5
551.25,0.23568528467643873,0.40230433931050086,0.0015,0.0015,1.5
555.0,0.248887500294744,0.4053824723796107,0.0015,0.0015,1.5
558.75,0.25693992557321754,0.40108302273130253,0.0015,0.0015,1.5
562.5,0.2687161772348575,0.3996545948762454,0.0015,0.0015,1.5
566.25,0.2784757575179565,0.3961050751451465,0.0015,0.0015,1.5
570.0,0.2927659986064934,0.39467608896635176,0.0015,0.0015,1.5
573.75,0.3029617530195334,0.3902556440133364,0.0015,0.0015,1.5
577.5,0.31751372934606836,0.3850960978504587,0.0015,0.0015,1.5
581.25,0.331830325703392,0.37829132597941173,0.0015,0.0015,1.5
585.0,0.34654137280073566,0.3687333122820019,0.0015,0.0015,1.5
588.75,0.3630745038175088,0.363028077853486,0.0015,0.0015,1.5
592.5,0.37930063523367424,0.35309803397952033,0.0015,0.0015,1.5
596.25,0.396115384199287,0.34517194198097184,0.0015,0.0015,1.5
600.0,0.4120655353453764,0.33418434336476294,0.0015,0.0015,1.5
