wavelength_nm,T,R,sigma_T,sigma_R,substrate_n
300.0,0.00030335092084976187,0.45333413860069494,0.0015,0.0015,1.5
303.75,0.003244527541902217,0.4507480887171678,0.0015,0.0015,1.5
307.5,0.003906384057608308,0.4460889439664946,0.0015,0.0015,1.5
311.25,0.0033966640415885683,0.4465639973024701,0.0015,0.0015,1.5
315.0,0.00459869366902331,0.4429490663320281,0.0015,0.0015,1.5
318.75,0.0025891739118194096,0.44090283194634355,0.0015,0.0015,1.5
322.5,0.0006347779257044107,0.43822270760638393,0.0015,0.0015,1.5
326.25,0.0029001031532972592,0.43466908241867785,0.0015,0.0015,1.5
330.0,0.003963485388732839,0.4349712227750852,0.0015,0.0015,1.5
333.75,0.00415777694285042,0.43037119259336654,0.0015,0.0015,1.5
337.5,0.002977683928657996,0.4290972538902309,0.0015,0.0015,1.5
341.25,0.0011888005857727951,0.42791332662821285,0.0015,0.0015,1.5
345.0,0.007884657718133795,0.4215004673208125,0.0015,0.0015,1.5
348.75,0.005275582812371026,0.41983740138517495,0.0015,0.0015,1.5
352.5,0.006599913351914837,0.4172361808288356,0.0015,0.0015,1.5
356.25,0.005662854196479215,0.41328845129495784,0.0015,0.0015,1.5
360.0,0.0062110717545346555,0.4101156612497731,0.0015,0.0015,1.5
363.75,0.009363994391017774,0.4059894813719617,0.0015,0.0015,1.5
367.5,0.010917296468508074,0.40082143733072645,0.0015,0.0015,1.5
371.25,0.009324844637912279,0.4001675119967453,0.0015,0.0015,1.5
375.0,0.011319770081375894,0.39948557358938697,0.0015,0.0015,1.5
378.75,0.012729545413053676,0.3911183673389637,0.0015,0.0015,1.5
382.5,0.013983699508524874,0.38902617154695784,0.0015,0.0015,1.5
386.25,0.016443661114816766,0.384464161884676,0.0015,0.0015,1.5
390.0,0.019844883605750745,0.37885627688772383,0.0015,0.0015,1.5
393.75,0.020020996789192187,0.3748135009912764,0.0015,0.0015,1.5
397.5,0.02877880445426694,0.37183509466849024,0.0015,0.0015,1.5
